driverId,week,hours-logged,miles-logged
80,34,51,100
34,13,75,2800
51,48,71,2400
65,5,65,1000
93,15,74,1400
72,11,58,1600
38,11,64,1400
20,25,57,3100
92,17,71,1300
19,15,66,2700
37,10,68,2600
90,32,60,2800
81,36,76,300
34,52,66,3800
66,7,70,1500
85,7,52,2700
14,13,62,2000
24,5,60,3300
21,32,60,1200
63,6,76,800
11,38,56,800
99,11,77,1300
27,31,66,900
26,6,67,3300
45,29,59,2700
93,18,73,2700
43,19,73,800
52,12,54,1000
19,20,55,600
76,1,57,3700
107,27,72,300
23,31,55,2000
74,38,70,1500
87,42,77,3400
35,6,51,4000
21,9,62,200
20,33,62,1700
10,50,63,300
33,18,63,500
11,38,56,3000
23,13,57,3900
24,11,68,1900
45,30,51,0
70,50,62,1900
38,4,56,1700
56,22,51,3600
76,33,57,1100
94,48,78,2400
76,48,56,2300
104,50,69,2000
20,5,52,200
34,11,80,3200
48,33,68,1300
70,39,78,1400
11,12,59,2400
73,30,74,2200
73,22,54,2100
25,10,71,800
59,35,59,300
27,33,54,2400
22,7,78,3800
44,17,70,3800
81,45,70,3600
66,23,67,3000
89,1,61,1700
78,23,75,900
71,35,67,1400
81,32,67,3900
66,19,58,3400
101,7,62,2900
77,9,70,4000
12,49,76,500
56,10,72,2600
31,3,79,1600
52,18,61,1100
102,38,54,1100
26,4,73,2300
23,46,54,1800
73,6,65,2500
22,17,56,3900
70,44,80,500
64,27,67,1700
92,12,70,300
43,32,57,3900
42,25,54,3000
92,14,71,3100
57,37,50,2500
38,6,54,700
44,13,77,1800
17,12,71,3900
38,7,66,2600
65,36,78,100
104,39,61,1800
81,42,70,1100
37,11,69,1200
24,17,60,2800
37,20,55,2400
74,50,71,700
79,12,64,3900
36,8,65,1500
99,33,51,2100
70,37,68,2900
62,28,58,200
57,5,78,800
100,1,56,2700
35,35,66,3700
52,42,52,300
97,20,80,1400
62,22,78,500
18,22,52,2100
39,42,61,4000
99,25,68,2000
48,46,56,3900
38,2,76,3100
16,20,67,2100
70,39,77,3800
74,51,75,1900
21,47,63,1700
13,47,58,800
97,38,59,3900
94,26,75,2100
20,23,54,1300
62,14,70,2400
82,24,59,1000
60,33,57,200
36,40,76,800
81,8,63,2400
81,27,66,500
90,25,53,3700
28,29,72,1000
106,22,72,900
59,4,71,4000
90,46,54,1900
35,44,60,4000
71,3,68,400
21,29,67,1900
77,37,75,600
78,5,65,2400
101,35,54,900
100,21,57,3500
102,29,75,2900
56,26,78,4000
95,2,58,1400
106,20,65,800
36,33,69,900
73,4,75,900
96,12,54,0
16,4,78,300
98,21,69,2300
78,7,53,900
60,1,77,1700
74,29,71,1800
12,20,63,3700
48,43,77,1500
104,13,63,1600
103,41,77,3400
61,42,52,1700
15,20,63,3500
18,18,61,3100
26,42,60,2200
35,4,55,100
19,42,73,3000
25,6,71,1600
98,42,61,0
47,7,78,3200
68,50,63,700
83,39,55,700
52,52,51,2900
52,25,54,2600
40,11,60,3700
105,12,64,200
98,18,70,2200
77,43,57,1200
15,33,72,900
85,48,57,600
39,2,77,1600
29,30,51,1800
94,25,50,3700
84,22,71,2200
53,25,59,2900
27,25,69,2800
69,44,58,600
50,12,75,2300
71,1,50,200
45,32,52,2600
39,47,67,1600
46,17,68,1900
14,40,59,2000
44,14,50,2900
76,36,76,2400
56,48,56,4000
101,32,64,1500
26,2,62,1200
46,46,66,3300
96,47,77,3100
20,15,74,100
56,37,53,800
64,45,52,0
96,10,52,2500
81,3,80,3000
91,16,71,2300
60,38,80,2200
71,32,58,3400
84,2,79,3800
63,27,68,1700
65,15,51,2600
16,29,60,3600
99,29,50,2000
12,49,75,2300
25,6,55,2800
77,32,65,3900
21,18,57,2100
96,49,62,400
56,7,61,300
37,36,80,700
24,37,62,2200
88,51,67,3200
76,15,57,3900
65,29,59,3600
27,28,63,2400
96,52,53,2300
65,19,50,0
95,47,69,800
70,28,74,400
83,19,59,2300
92,41,77,1400
29,35,65,1000
46,44,59,3700
72,4,67,2200
60,41,52,1900
99,42,56,1900
96,28,80,1000
55,28,76,200
107,1,73,800
98,7,71,2600
33,31,62,3900
77,49,56,2100
60,33,76,2500
59,15,68,1300
44,35,61,2200
109,36,63,100
49,8,76,3600
42,48,62,2000
47,51,71,1400
66,25,68,300
73,19,68,1200
15,46,59,3200
58,8,67,1400
20,43,63,100
108,7,56,3100
107,24,79,1000
41,20,57,4000
80,15,61,1500
14,7,71,1000
71,49,56,2100
21,33,55,2900
70,10,65,300
26,10,55,1300
21,6,50,2500
20,6,50,3000
77,49,60,1800
81,1,80,2600
22,39,79,0
42,13,63,4000
96,28,62,1200
77,9,51,500
98,44,58,2100
29,23,62,300
38,26,70,1200
70,27,60,3300
67,14,73,1700
91,28,57,3800
103,18,77,400
24,17,68,3600
38,49,77,1200
57,44,74,2500
54,6,63,300
14,3,76,900
27,24,72,1000
65,34,50,1500
73,2,78,600
72,12,76,1600
59,17,57,4000
30,9,68,600
33,26,67,600
12,39,73,0
19,13,70,1000
73,33,54,3000
103,27,62,3100
98,44,54,1100
33,4,65,800
49,13,62,2900
84,19,76,2000
76,33,54,3300
87,7,75,1400
15,52,78,1900
61,38,80,800
30,12,67,3400
92,4,63,3300
84,46,64,1900
61,35,51,1300
95,42,58,1300
83,18,66,3500
31,16,63,900
82,2,54,600
104,12,62,800
105,2,65,2800
75,50,62,1100
61,5,55,3700
95,39,61,700
69,11,57,3100
74,18,60,1400
17,34,72,3800
27,50,79,1000
78,48,70,2000
46,9,64,3700
93,29,77,1500
99,25,55,3300
19,26,72,400
62,2,63,400
44,1,63,200
42,32,74,1000
104,50,80,200
80,33,58,2200
27,48,59,4000
31,44,55,1600
19,45,55,2500
105,24,71,300
27,48,76,3800
25,36,56,500
81,12,54,1100
25,4,63,3300
30,34,74,2100
83,33,63,2100
73,28,58,800
55,4,67,1600
50,32,61,600
92,17,57,2000
25,10,63,100
67,31,54,100
72,38,77,600
19,38,60,2200
60,18,54,600
103,18,79,300
24,12,59,3200
48,39,68,3100
69,5,61,3800
94,30,74,700
31,28,65,4000
102,38,77,300
65,34,79,800
58,14,52,1200
96,45,80,1600
98,20,69,1800
69,22,50,3700
79,47,65,2900
53,33,60,800
26,9,73,3000
97,10,51,1600
50,25,56,2800
63,5,69,500
36,48,64,2900
77,48,75,3100
97,12,55,1600
104,9,61,3700
93,49,50,2300
64,32,75,3000
29,2,53,2200
35,18,52,1300
96,30,66,3200
50,20,52,3900
80,51,52,4000
88,52,76,3600
98,24,67,3300
12,36,52,1700
89,9,55,1200
77,33,69,1800
77,15,60,0
